,ID,nom,departement,ville,CP,type,NO2_2012,PM10_2012,PM25_2012,geometry
10100,9176,CC Ville Saint Sabin 11ème,75,Paris 11,75011,crèche,40.21648976266385,26.5518206346035,16.225701052248482,"c(2.36875068924905, 48.859275878013)"
10101,9177,CC VILLE Magasin Opéra 17ème,75,Paris 17,75017,crèche,50.12640264511109,30.367645382881165,19.37234400510788,"c(2.30509696655606, 48.8909812071799)"
10102,9178,CC VILLE Ganneron (8) 18ème,75,Paris 18,75018,crèche,42.72316400527954,27.393441452980035,16.91498955488205,"c(2.32698387945686, 48.8898220690648)"
10103,9179,CF VILLE Reynaldo Hahn 20ème,75,Paris 20,75020,crèche,38.742677593231214,25.575146525502205,15.651639418900011,"c(2.41198992762476, 48.8504990647098)"
10104,9180,HG VILLE Petites Ecuries 10ème,75,Paris 10,75010,crèche,40.72443616390228,26.460857927799225,16.14112298488617,"c(2.35199989398452, 48.8735400286556)"
10105,9181,HG VILLE Berzélius 17ème,75,Paris 17,75017,crèche,41.194749369621285,26.85280559659005,16.47021183490753,"c(2.31971471218064, 48.8944843283729)"
10106,9182,HG VILLE Evangile 18ème,75,Paris 18,75018,crèche,40.717743754386895,26.32665612876415,16.059259707927705,"c(2.36367538756137, 48.893323381524)"
10107,9183,HG VILLE Loire 19ème,75,Paris 19,75019,crèche,40.60421426057815,26.26936783432961,16.02431405425072,"c(2.37424244990722, 48.8850398160367)"
10108,9184,CC Ville Buisson St Louis 10èm,75,Paris 10,75010,crèche,40.5830046826601,26.30411214023828,16.04550815552473,"c(2.37356961175864, 48.8727370668637)"
10109,9185,JM Ville André Masson 13ème,75,Paris 13,75013,crèche,36.9802188205719,26.301487544775014,16.043907685875894,"c(2.35477694584914, 48.8276887782071)"
10110,9186,JM Ville Italie 13ème,75,Paris 13,75013,crèche,50.52420103549957,31.578382551670074,20.39118376374245,"c(2.35878226420454, 48.8211209091055)"
10111,9187,JM Ville Retrait 20ème,75,Paris 20,75020,crèche,40.75140680372715,25.994030877947807,15.875338587909935,"c(2.39376850040943, 48.8689788098521)"
10112,9188,JE VILLE Dr.Hutinel 13ème,75,Paris 13,75013,crèche,37.789620554447175,26.395640777051447,16.12071136832237,"c(2.36477627293663, 48.8316641409934)"
10113,9189,JE VILLE Max Jacob 13ème,75,Paris 13,75013,crèche,36.580018549859524,26.21728732123971,15.998905442282554,"c(2.3538959680497, 48.820310481855)"
